epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,217485,0.49931,0.44054,0.95758,0.99647,0.99768,0.99482,0.92259,0.35394,0.1859,0.85322,0.00010202,0.00010202,0.00010202
69,218864,0.49359,0.43054,0.95311,0.99682,0.99837,0.99483,0.92344,0.35035,0.18477,0.85119,9.90204e-05,9.90204e-05,9.90204e-05
70,220204,0.49035,0.42546,0.95626,0.99654,0.99643,0.99489,0.92122,0.34924,0.18258,0.84977,9.60207e-05,9.60207e-05,9.60207e-05
71,251295,0.49649,0.43046,0.95683,0.99555,0.9983,0.99488,0.92228,0.34503,0.18332,0.84843,9.3021e-05,9.3021e-05,9.3021e-05
72,252624,0.48557,0.41762,0.95042,0.99467,0.99768,0.99491,0.9229,0.34954,0.18283,0.85049,9.00213e-05,9.00213e-05,9.00213e-05
73,254001,0.48585,0.42468,0.95342,0.99509,0.99736,0.99498,0.9256,0.34435,0.18083,0.84609,8.70216e-05,8.70216e-05,8.70216e-05
74,255500,0.48549,0.41968,0.95365,0.99605,0.99809,0.99497,0.92312,0.34304,0.17905,0.84477,8.40219e-05,8.40219e-05,8.40219e-05
75,257166,0.48317,0.41482,0.95077,0.99578,0.99757,0.99496,0.92357,0.34465,0.17759,0.8467,8.10222e-05,8.10222e-05,8.10222e-05
76,258490,0.48152,0.42561,0.95361,0.9954,0.99791,0.99493,0.925,0.33857,0.17665,0.8449,7.80225e-05,7.80225e-05,7.80225e-05
77,259813,0.48193,0.41608,0.95302,0.99564,0.99781,0.99496,0.92558,0.33757,0.17614,0.8432,7.50228e-05,7.50228e-05,7.50228e-05
78,261140,0.47281,0.41515,0.94825,0.99676,0.99776,0.99497,0.92563,0.33952,0.17602,0.84542,7.20231e-05,7.20231e-05,7.20231e-05
79,262445,0.47084,0.39945,0.94293,0.99642,0.99822,0.99497,0.9251,0.33989,0.17667,0.84497,6.90234e-05,6.90234e-05,6.90234e-05
80,289592,0.46836,0.39913,0.94472,0.99634,0.9982,0.99497,0.92558,0.33864,0.17593,0.84458,6.60237e-05,6.60237e-05,6.60237e-05
81,290909,0.47398,0.40168,0.94731,0.99695,0.99895,0.99489,0.92639,0.33575,0.17209,0.84371,6.3024e-05,6.3024e-05,6.3024e-05
82,295225,0.46752,0.39724,0.94436,0.99718,0.99837,0.99495,0.92577,0.33275,0.17063,0.84143,6.00243e-05,6.00243e-05,6.00243e-05
83,296652,0.46457,0.40326,0.94354,0.99585,0.99883,0.99498,0.92724,0.33083,0.1714,0.83975,5.70246e-05,5.70246e-05,5.70246e-05
84,300308,0.46568,0.40276,0.9428,0.99549,0.99884,0.99499,0.92716,0.32985,0.16969,0.83986,5.40249e-05,5.40249e-05,5.40249e-05
85,301613,0.46132,0.39804,0.94021,0.99681,0.99803,0.99499,0.92797,0.3281,0.16884,0.83879,5.10252e-05,5.10252e-05,5.10252e-05
86,328892,0.46078,0.38783,0.93914,0.99659,0.99791,0.99495,0.9285,0.32713,0.16863,0.83848,4.80255e-05,4.80255e-05,4.80255e-05
87,361844,0.44747,0.38583,0.93452,0.99687,0.99816,0.99498,0.93036,0.32562,0.16809,0.83768,4.50258e-05,4.50258e-05,4.50258e-05
88,363196,0.45597,0.39418,0.94207,0.99639,0.9978,0.99498,0.92762,0.32627,0.16739,0.83799,4.20261e-05,4.20261e-05,4.20261e-05
89,374300,0.44763,0.37485,0.93124,0.99643,0.9978,0.99499,0.92817,0.32544,0.16694,0.83809,3.90264e-05,3.90264e-05,3.90264e-05
90,375823,0.45174,0.38514,0.93749,0.99639,0.99732,0.99499,0.93064,0.32267,0.16774,0.83737,3.60267e-05,3.60267e-05,3.60267e-05
91,377645,0.34313,0.20171,0.86317,0.99561,0.99771,0.99499,0.92658,0.33058,0.17158,0.84028,3.3027e-05,3.3027e-05,3.3027e-05
92,379460,0.32986,0.19163,0.8568,0.99694,0.99701,0.99498,0.92603,0.3293,0.17095,0.83993,3.00273e-05,3.00273e-05,3.00273e-05
93,381228,0.32502,0.19132,0.85705,0.99557,0.99721,0.99498,0.92911,0.3286,0.17065,0.83934,2.70276e-05,2.70276e-05,2.70276e-05
94,382656,0.32051,0.18652,0.85333,0.99639,0.99735,0.99498,0.93044,0.32664,0.16932,0.8385,2.40279e-05,2.40279e-05,2.40279e-05
95,386365,0.31742,0.18434,0.85094,0.99665,0.99821,0.99499,0.93123,0.32412,0.16765,0.83793,2.10282e-05,2.10282e-05,2.10282e-05
96,387842,0.31729,0.1838,0.84751,0.9962,0.99785,0.99499,0.932,0.32481,0.16558,0.83908,1.80285e-05,1.80285e-05,1.80285e-05
97,389265,0.31462,0.18269,0.84838,0.99624,0.99781,0.99499,0.9319,0.32305,0.16544,0.83796,1.50288e-05,1.50288e-05,1.50288e-05
98,391495,0.31266,0.18187,0.84854,0.99645,0.99772,0.99499,0.9314,0.32193,0.1639,0.83763,1.20291e-05,1.20291e-05,1.20291e-05
99,392891,0.31099,0.17855,0.84454,0.99641,0.99754,0.99499,0.93216,0.32123,0.16272,0.83733,9.0294e-06,9.0294e-06,9.0294e-06
100,410734,0.31162,0.1803,0.85083,0.99644,0.99758,0.99499,0.93254,0.32144,0.16323,0.83755,6.0297e-06,6.0297e-06,6.0297e-06
